date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:33	46551/46551	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/order-invoices.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/order-invoices.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:33	56576/56576	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/customers.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/customers.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:33	59682/59682	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/customer-detail.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/customer-detail.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:33	46437/46437	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/coupons-list.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/coupons-list.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:34	44110/44110	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/coupon-add.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/coupon-add.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:34	44022/44022	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/coupon-edit.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/coupon-edit.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:34	44842/44842	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/inventory-info.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/inventory-info.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:35	62368/62368	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/purchase.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/purchase.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:35	56097/56097	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/supplier.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/supplier.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:35	52655/52655	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/returns.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/returns.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:35	52730/52730	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/department.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/department.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:36	67467/67467	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/invoices.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/invoices.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:36	57354/57354	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/expenses.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/expenses.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:36	46967/46967	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/salaryslip.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/salaryslip.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:36	40245/40245	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/calendar.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/calendar.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:37	61232/61232	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/chat.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/chat.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
